2026-05-07 21:00:08,114 | user=- | rol=- | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:usuario_no_encontrado
2026-05-07 21:28:18,053 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_ok
2026-05-07 21:39:27,128 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_ok
2026-05-07 21:40:18,886 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_ok
2026-05-08 10:58:27,487 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_ok
2026-05-08 11:02:47,271 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_ok
2026-05-08 11:03:52,880 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=crear_empleado
2026-05-08 11:06:20,075 | user=5 | rol=Recepcion | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_ok
2026-05-08 11:09:19,875 | user=5 | rol=Recepcion | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-08 11:09:37,383 | user=5 | rol=Recepcion | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-08 11:34:56,874 | user=5 | rol=Recepcion | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-08 11:35:00,203 | user=5 | rol=Recepcion | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-08 11:35:01,617 | user=5 | rol=Recepcion | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-08 11:35:02,941 | user=5 | rol=Recepcion | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-08 11:35:04,053 | user=5 | rol=Recepcion | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-08 11:35:07,351 | user=5 | rol=Recepcion | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-08 11:35:08,807 | user=5 | rol=Recepcion | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-08 11:35:09,711 | user=5 | rol=Recepcion | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-08 11:35:10,935 | user=5 | rol=Recepcion | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-08 11:35:11,784 | user=5 | rol=Recepcion | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-08 11:35:12,960 | user=5 | rol=Recepcion | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-08 11:35:14,035 | user=5 | rol=Recepcion | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-08 11:35:14,726 | user=5 | rol=Recepcion | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-08 11:35:15,815 | user=5 | rol=Recepcion | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-08 11:35:16,555 | user=5 | rol=Recepcion | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-08 11:35:17,584 | user=5 | rol=Recepcion | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-08 11:35:18,289 | user=5 | rol=Recepcion | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-08 11:35:19,608 | user=5 | rol=Recepcion | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-08 11:35:20,594 | user=5 | rol=Recepcion | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:10:57,114 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_ok
2026-05-11 12:11:27,934 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:11:29,125 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:11:30,750 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:11:31,711 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:11:33,235 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:11:34,414 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:11:35,884 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:12:21,588 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:12:22,509 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:12:23,592 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:12:23,991 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:12:25,101 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:12:25,619 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:12:26,891 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:12:27,650 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:12:28,682 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:12:29,395 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:18:24,927 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:18:26,229 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:18:27,474 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:18:28,268 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:18:29,429 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:18:30,628 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:18:50,093 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:18:51,031 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:18:52,145 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:18:52,846 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:18:53,850 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
2026-05-11 12:18:54,506 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | action=login_fail:password_incorrecto
