2026-05-31 16:09:29,363 | user=- | rol=- | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_fail:login_fail
2026-05-31 16:09:30,261 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_ok
2026-05-31 16:09:31,159 | user=3 | rol=Groomer | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_ok
2026-05-31 16:09:32,048 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_ok
2026-05-31 16:09:32,938 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_ok
2026-05-31 16:09:34,108 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_ok
2026-05-31 16:09:34,130 | user=- | rol=- | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_fail:login_fail
2026-05-31 16:09:34,146 | user=- | rol=- | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_fail:login_fail
2026-05-31 16:09:34,153 | user=- | rol=- | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_fail:login_fail
2026-05-31 16:09:34,157 | user=- | rol=- | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_fail:login_fail
2026-05-31 16:10:19,397 | user=- | rol=- | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_fail:login_fail
2026-05-31 16:10:20,288 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_ok
2026-05-31 16:10:21,173 | user=3 | rol=Groomer | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_ok
2026-05-31 16:10:22,095 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_ok
2026-05-31 16:10:22,947 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_ok
2026-05-31 16:10:23,822 | user=1 | rol=Admin | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_ok
2026-05-31 16:10:23,860 | user=- | rol=- | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_fail:login_fail
2026-05-31 16:10:23,879 | user=- | rol=- | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_fail:login_fail
2026-05-31 16:10:23,883 | user=- | rol=- | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_fail:login_fail
2026-05-31 16:10:23,888 | user=- | rol=- | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_fail:login_fail
2026-05-31 16:10:23,893 | user=- | rol=- | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_fail:login_fail
2026-05-31 16:10:23,899 | user=- | rol=- | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_fail:login_fail
2026-05-31 16:10:24,775 | user=3 | rol=Groomer | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_ok
2026-05-31 16:10:25,708 | user=4 | rol=Cliente | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_ok
2026-05-31 16:10:26,576 | user=3 | rol=Groomer | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_ok
2026-05-31 16:10:27,546 | user=4 | rol=Cliente | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_ok
2026-05-31 16:10:28,430 | user=2 | rol=Recepcion | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_ok
2026-05-31 16:10:30,215 | user=4 | rol=Cliente | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_ok
2026-05-31 16:10:31,111 | user=2 | rol=Recepcion | ip=127.0.0.1 | ua=Werkzeug/3.1.7 | action=login_ok
